"Sector","Year","Statistic Label","UNIT","VALUE"
"All Emissions","1994","Carbon Dioxide (CO2) Emissions","000 Tonnes","34164"
"All Emissions","1994","Nitrous Oxide (N2O) Emissions","000 Tonnes","32.5"
"All Emissions","1994","Methane (CH4) Emissions","000 Tonnes","646.9"
"All Emissions","1994","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","57834.8"
"All Emissions","1995","Carbon Dioxide (CO2) Emissions","000 Tonnes","34987.9"
"All Emissions","1995","Nitrous Oxide (N2O) Emissions","000 Tonnes","33.2"
"All Emissions","1995","Methane (CH4) Emissions","000 Tonnes","650.4"
"All Emissions","1995","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","58925.8"
"All Emissions","1996","Carbon Dioxide (CO2) Emissions","000 Tonnes","36374.5"
"All Emissions","1996","Nitrous Oxide (N2O) Emissions","000 Tonnes","33.4"
"All Emissions","1996","Methane (CH4) Emissions","000 Tonnes","669.6"
"All Emissions","1996","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","60797.7"
"All Emissions","1997","Carbon Dioxide (CO2) Emissions","000 Tonnes","38851.8"
"All Emissions","1997","Nitrous Oxide (N2O) Emissions","000 Tonnes","32.06"
"All Emissions","1997","Methane (CH4) Emissions","000 Tonnes","671.56"
"All Emissions","1997","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","62891.6"
"All Emissions","1998","Carbon Dioxide (CO2) Emissions","000 Tonnes","40017.46"
"All Emissions","1998","Nitrous Oxide (N2O) Emissions","000 Tonnes","33.93"
"All Emissions","1998","Methane (CH4) Emissions","000 Tonnes","683.97"
"All Emissions","1998","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","65401.4"
"All Emissions","1999","Carbon Dioxide (CO2) Emissions","000 Tonnes","41619.48"
"All Emissions","1999","Nitrous Oxide (N2O) Emissions","000 Tonnes","34.12"
"All Emissions","1999","Methane (CH4) Emissions","000 Tonnes","668.66"
"All Emissions","1999","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","66821.3"
"All Emissions","2000","Carbon Dioxide (CO2) Emissions","000 Tonnes","44274.29"
"All Emissions","2000","Nitrous Oxide (N2O) Emissions","000 Tonnes","32.57"
"All Emissions","2000","Methane (CH4) Emissions","000 Tonnes","644.62"
"All Emissions","2000","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","68382.12"
"All Emissions","2001","Carbon Dioxide (CO2) Emissions","000 Tonnes","46574.64"
"All Emissions","2001","Nitrous Oxide (N2O) Emissions","000 Tonnes","30.91"
"All Emissions","2001","Methane (CH4) Emissions","000 Tonnes","632.74"
"All Emissions","2001","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","70062.96"
"All Emissions","2002","Carbon Dioxide (CO2) Emissions","000 Tonnes","45035.09"
"All Emissions","2002","Nitrous Oxide (N2O) Emissions","000 Tonnes","29.34"
"All Emissions","2002","Methane (CH4) Emissions","000 Tonnes","636.13"
"All Emissions","2002","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","68230.94"
"All Emissions","2003","Carbon Dioxide (CO2) Emissions","000 Tonnes","43981.11"
"All Emissions","2003","Nitrous Oxide (N2O) Emissions","000 Tonnes","28.82"
"All Emissions","2003","Methane (CH4) Emissions","000 Tonnes","663.89"
"All Emissions","2003","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","67913.73"
"All Emissions","2004","Carbon Dioxide (CO2) Emissions","000 Tonnes","45225.84"
"All Emissions","2004","Nitrous Oxide (N2O) Emissions","000 Tonnes","28.3"
"All Emissions","2004","Methane (CH4) Emissions","000 Tonnes","635.55"
"All Emissions","2004","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","68004.76"
"All Emissions","2005","Carbon Dioxide (CO2) Emissions","000 Tonnes","46826.57"
"All Emissions","2005","Nitrous Oxide (N2O) Emissions","000 Tonnes","28.08"
"All Emissions","2005","Methane (CH4) Emissions","000 Tonnes","630.97"
"All Emissions","2005","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","69592.94"
"All Emissions","2006","Carbon Dioxide (CO2) Emissions","000 Tonnes","46285.2"
"All Emissions","2006","Nitrous Oxide (N2O) Emissions","000 Tonnes","27.34"
"All Emissions","2006","Methane (CH4) Emissions","000 Tonnes","632.38"
"All Emissions","2006","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","68991.77"
"All Emissions","2007","Carbon Dioxide (CO2) Emissions","000 Tonnes","45980.66"
"All Emissions","2007","Nitrous Oxide (N2O) Emissions","000 Tonnes","26.04"
"All Emissions","2007","Methane (CH4) Emissions","000 Tonnes","617.29"
"All Emissions","2007","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","68537.09"
"Wood and wood products (NACE 20)","1994","Carbon Dioxide (CO2) Emissions","000 Tonnes","238.2"
"Wood and wood products (NACE 20)","1994","Nitrous Oxide (N2O) Emissions","000 Tonnes","0"
"Wood and wood products (NACE 20)","1994","Methane (CH4) Emissions","000 Tonnes","0"
"Wood and wood products (NACE 20)","1994","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","246.7"
"Wood and wood products (NACE 20)","1995","Carbon Dioxide (CO2) Emissions","000 Tonnes","278.7"
"Wood and wood products (NACE 20)","1995","Nitrous Oxide (N2O) Emissions","000 Tonnes","0"
"Wood and wood products (NACE 20)","1995","Methane (CH4) Emissions","000 Tonnes","0.1"
"Wood and wood products (NACE 20)","1995","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","287.9"
"Wood and wood products (NACE 20)","1996","Carbon Dioxide (CO2) Emissions","000 Tonnes","270.8"
"Wood and wood products (NACE 20)","1996","Nitrous Oxide (N2O) Emissions","000 Tonnes","0"
"Wood and wood products (NACE 20)","1996","Methane (CH4) Emissions","000 Tonnes","0"
"Wood and wood products (NACE 20)","1996","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","279.8"
"Wood and wood products (NACE 20)","1997","Carbon Dioxide (CO2) Emissions","000 Tonnes","280.6"
"Wood and wood products (NACE 20)","1997","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.03"
"Wood and wood products (NACE 20)","1997","Methane (CH4) Emissions","000 Tonnes","0.02"
"Wood and wood products (NACE 20)","1997","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","289.8"
"Wood and wood products (NACE 20)","1998","Carbon Dioxide (CO2) Emissions","000 Tonnes","251.85"
"Wood and wood products (NACE 20)","1998","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.04"
"Wood and wood products (NACE 20)","1998","Methane (CH4) Emissions","000 Tonnes",""
"Wood and wood products (NACE 20)","1998","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","263.43"
"Wood and wood products (NACE 20)","1999","Carbon Dioxide (CO2) Emissions","000 Tonnes","258.71"
"Wood and wood products (NACE 20)","1999","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.04"
"Wood and wood products (NACE 20)","1999","Methane (CH4) Emissions","000 Tonnes",""
"Wood and wood products (NACE 20)","1999","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","270.54"
"Wood and wood products (NACE 20)","2000","Carbon Dioxide (CO2) Emissions","000 Tonnes","263.96"
"Wood and wood products (NACE 20)","2000","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.04"
"Wood and wood products (NACE 20)","2000","Methane (CH4) Emissions","000 Tonnes",""
"Wood and wood products (NACE 20)","2000","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","274.94"
"Wood and wood products (NACE 20)","2001","Carbon Dioxide (CO2) Emissions","000 Tonnes","269.91"
"Wood and wood products (NACE 20)","2001","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.04"
"Wood and wood products (NACE 20)","2001","Methane (CH4) Emissions","000 Tonnes",""
"Wood and wood products (NACE 20)","2001","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","281.04"
"Wood and wood products (NACE 20)","2002","Carbon Dioxide (CO2) Emissions","000 Tonnes","253.32"
"Wood and wood products (NACE 20)","2002","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.03"
"Wood and wood products (NACE 20)","2002","Methane (CH4) Emissions","000 Tonnes",""
"Wood and wood products (NACE 20)","2002","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","263.3"
"Wood and wood products (NACE 20)","2003","Carbon Dioxide (CO2) Emissions","000 Tonnes","226.24"
"Wood and wood products (NACE 20)","2003","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.03"
"Wood and wood products (NACE 20)","2003","Methane (CH4) Emissions","000 Tonnes",""
"Wood and wood products (NACE 20)","2003","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","234.36"
"Wood and wood products (NACE 20)","2004","Carbon Dioxide (CO2) Emissions","000 Tonnes","220.34"
"Wood and wood products (NACE 20)","2004","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.03"
"Wood and wood products (NACE 20)","2004","Methane (CH4) Emissions","000 Tonnes","0.01"
"Wood and wood products (NACE 20)","2004","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","228.53"
"Wood and wood products (NACE 20)","2005","Carbon Dioxide (CO2) Emissions","000 Tonnes","234.38"
"Wood and wood products (NACE 20)","2005","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.03"
"Wood and wood products (NACE 20)","2005","Methane (CH4) Emissions","000 Tonnes","0.01"
"Wood and wood products (NACE 20)","2005","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","243.31"
"Wood and wood products (NACE 20)","2006","Carbon Dioxide (CO2) Emissions","000 Tonnes","238.95"
"Wood and wood products (NACE 20)","2006","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.03"
"Wood and wood products (NACE 20)","2006","Methane (CH4) Emissions","000 Tonnes","0.01"
"Wood and wood products (NACE 20)","2006","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","247.79"
"Wood and wood products (NACE 20)","2007","Carbon Dioxide (CO2) Emissions","000 Tonnes","212.61"
"Wood and wood products (NACE 20)","2007","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.02"
"Wood and wood products (NACE 20)","2007","Methane (CH4) Emissions","000 Tonnes","0.01"
"Wood and wood products (NACE 20)","2007","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","219.94"
"Chemicals and chemical products (NACE 24)","1994","Carbon Dioxide (CO2) Emissions","000 Tonnes","2475.9"
"Chemicals and chemical products (NACE 24)","1994","Nitrous Oxide (N2O) Emissions","000 Tonnes","2.7"
"Chemicals and chemical products (NACE 24)","1994","Methane (CH4) Emissions","000 Tonnes","1.8"
"Chemicals and chemical products (NACE 24)","1994","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","3357.9"
"Chemicals and chemical products (NACE 24)","1995","Carbon Dioxide (CO2) Emissions","000 Tonnes","2367.3"
"Chemicals and chemical products (NACE 24)","1995","Nitrous Oxide (N2O) Emissions","000 Tonnes","2.7"
"Chemicals and chemical products (NACE 24)","1995","Methane (CH4) Emissions","000 Tonnes","1.6"
"Chemicals and chemical products (NACE 24)","1995","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","3244.5"
"Chemicals and chemical products (NACE 24)","1996","Carbon Dioxide (CO2) Emissions","000 Tonnes","2348.8"
"Chemicals and chemical products (NACE 24)","1996","Nitrous Oxide (N2O) Emissions","000 Tonnes","2.7"
"Chemicals and chemical products (NACE 24)","1996","Methane (CH4) Emissions","000 Tonnes","1.3"
"Chemicals and chemical products (NACE 24)","1996","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","3221.6"
"Chemicals and chemical products (NACE 24)","1997","Carbon Dioxide (CO2) Emissions","000 Tonnes","2668.6"
"Chemicals and chemical products (NACE 24)","1997","Nitrous Oxide (N2O) Emissions","000 Tonnes","2.68"
"Chemicals and chemical products (NACE 24)","1997","Methane (CH4) Emissions","000 Tonnes","1.31"
"Chemicals and chemical products (NACE 24)","1997","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","3527.8"
