,Years(kyr),CH4(ppb),Temp(Celsius),Temp(Kelvin),CO2(ppm)
0,0.0,1911.83,,,
1,0.0,,0.88,218.3,420.0
2,1.3,605.4002909,,,
3,38.37379,,,,
4,44.6,599.2280749,,,
5,46.81203,,,,
6,55.05624,,,,
7,64.41511,,,,
8,73.15077,,,,
9,81.93244,,,,
10,90.75925,,,,
11,94.8,603.7,,,
12,99.97031,,,,
13,109.88879,,,,
14,119.25888,,,,
15,129.40378,,,,
16,137.0,,1.84,218.3,280.4
17,139.93889,,,,
18,150.10205,,,,
19,154.1,590.6,,,
20,160.58005,,,,
21,164.9,594.286,,,
22,168.9,608.7,,,
23,171.01834,,,,
24,181.44466,,,,
25,191.48283,,,,
26,201.87233,,,,
27,212.18626,,,,
28,223.16292,,,,
29,233.73909,,,,
30,244.64073,,,,
31,255.49973,,,,
32,257.8,601.7,,,
33,266.61209,,,,
34,268.0,,3.04,218.3,274.9
35,277.77097,,,,
36,279.0,,0.35,218.3,277.9
37,289.25006,,,,
38,301.04303,,,,
39,312.44177,,,,
40,323.85452,,,,
41,324.6,597.3161697,,,
42,335.57825,,,,
43,346.88129,,,,
44,358.50821,,,,
45,359.2,594.7,,,
46,370.90112,,,,
47,371.0,594.1057316,,,
48,375.0,597.0,,,
49,382.87436,,,,
50,395.0,,-0.42,218.3,279.1
51,395.18558,,,,
52,404.0,,0.05,218.3,281.9
53,407.46558,,,,
54,418.75491,,,,
55,430.39774,,,,
56,438.7,592.8089959,,,
57,442.40918,,,,
58,454.09915,,,,
59,463.6,604.4481798,,,
60,466.12518,,,,
61,473.6,591.7,,,
62,478.21433,,,,
63,485.0,,0.05,218.3,277.7
64,490.39719,,,,
65,503.05731,,,,
66,515.651,,,,
67,528.76422,,,,
68,531.8,578.8931934,,,
69,541.60858,,,,
70,554.93121,,,,
71,559.0,,-0.52,218.3,281.1
72,564.8,603.0,,,
73,567.75421,,,,
74,568.8,590.0,,,
75,580.59985,,,,
76,593.51135,,,,
77,606.47388,,,,
78,619.46606,,,,
79,632.04871,,,,
80,644.98712,,,,
81,651.8,591.7,,,
82,658.25757,,,,
83,672.0,,0.79,218.3,282.2
84,672.12836,,,,
85,674.1,586.3685968,,,
86,686.65106,,,,
87,700.67932,,,,
88,715.02704,,,,
89,729.27771,,,,
90,744.23865,,,,
91,754.0,,-0.55,218.3,280.1
92,758.74341,,,,
93,766.5,590.3055,,,
94,769.5,580.0,,,
95,772.40747,,,,
96,773.6,587.9,,,
97,784.8,582.517837,,,
98,785.83618,,,,
99,798.90051,,,,
100,812.30737,,,,
101,824.81067,,,,
102,837.10004,,,,
103,843.3,579.6288433,,,
104,849.37903,,,,
105,850.1,578.3,,,
106,861.96991,,,,
107,875.36835,,,,
108,877.0,,-1.11,218.3,278.4
109,889.09241,,,,
110,903.1662,,,,
111,907.1,577.0200136,,,
112,917.33173,,,,
113,927.3,577.0,,,
114,931.97516,,,,
115,946.98193,,,,
116,950.0,,0.38,218.3,276.6
117,961.22705,,,,
118,975.76489,,,,
119,990.15808,,,,
120,1004.54004,,,,
121,1018.7851,,,,
122,1032.38147,,,,
123,1046.66455,,,,
124,1048.1,581.1818009,,,
125,1060.0,,-0.4,218.3,279.1
126,1060.58911,,,,
127,1074.79602,,,,
128,1076.2,572.7,,,
129,1089.0769,,,,
130,1103.7052,,,,
131,1118.15979,,,,
132,1132.65186,,,,
133,1146.79089,,,,
134,1153.0,,1.05,219.2,277.7
135,1156.8,576.0,,,
136,1160.92249,,,,
137,1174.39355,,,,
138,1188.11206,,,,
139,1189.2,589.4574439,,,
140,1201.49829,,,,
141,1215.03625,,,,
142,1229.32214,,,,
143,1233.0,,0.28,220.4,278.7
144,1243.60388,,,,
145,1258.22241,,,,
146,1260.1,567.7,,,
147,1272.59155,,,,
148,1286.97961,,,,
149,1301.70935,,,,
150,1315.86951,,,,
151,1330.4541,,,,
152,1344.70923,,,,
153,1350.0,,-0.72,217.7,277.4
154,1357.6,581.3,,,
155,1358.6217,,,,
156,1372.61572,,,,
157,1386.61511,,,,
158,1400.62073,,,,
159,1409.7,589.1519454,,,
160,1415.92065,,,,
161,1431.90051,,,,
162,1447.89026,,,,
163,1453.0,,-1.23,217.0,279.2
164,1463.26855,,,,
165,1478.73511,,,,
166,1483.1,572.7,,,
167,1494.21582,,,,
168,1509.67847,,,,
169,1525.08606,,,,
170,1540.51196,,,,
171,1552.0,,0.51,217.4,280.0
172,1556.2,569.8,,,
173,1556.33752,,,,
174,1566.9,559.5379345,,,
175,1571.98694,,,,
176,1588.01611,,,,
177,1604.08252,,,,
178,1620.57983,,,,
179,1622.1,574.5989508,,,
180,1637.10657,,,,
181,1638.0,,-2.44,217.4,278.9
182,1652.3,595.6684431,,,
183,1654.01477,,,,
184,1663.6,577.7,,,
185,1670.17859,,,,
186,1686.01746,,,,
187,1702.25342,,,,
188,1719.76782,,,,
189,1733.0,,0.42,216.9,278.7
190,1736.97498,,,,
191,1740.3,578.0,,,
192,1746.5,580.7,,,
193,1754.16895,,,,
194,1770.60083,,,,
195,1787.40186,,,,
196,1804.23096,,,,
197,1812.0,,0.84,218.2,278.0
198,1821.97449,,,,
199,1823.2,575.8749785,,,
200,1839.34473,,,,
201,1856.49829,,,,
202,1872.56653,,,,
203,1888.98816,,,,
204,1905.45862,,,,
205,1922.0116,,,,
206,1931.0,,0.71,216.8,276.9
207,1938.20874,,,,
208,1941.9,573.5,,,
209,1954.7,578.3925521,,,
210,1955.51404,,,,
211,1972.75623,,,,
212,1990.00256,,,,
213,2007.35229,,,,
214,2014.5,575.1261252,,,
215,2025.23914,,,,
216,2036.2,548.9266811,,,
217,2043.51099,,,,
218,2044.1,567.7,,,
219,2057.0,,-0.02,216.3,276.7
220,2060.98633,,,,
221,2078.09888,,,,
222,2095.21533,,,,
223,2112.52783,,,,
224,2128.0,,-0.14,217.8,276.7
225,2128.8,575.7,,,
226,2129.74927,,,,
227,2131.7,563.0,,,
228,2147.34131,,,,
229,2165.32129,,,,
230,2183.99536,,,,
231,2191.5,570.3,,,
232,2202.29272,,,,
233,2212.0,,-1.41,217.0,277.6
234,2219.3938,,,,
235,2223.3,581.8659941,,,
236,2236.5647,,,,
237,2253.38916,,,,
238,2270.87402,,,,
239,2288.77588,,,,
240,2306.32422,,,,
241,2326.60645,,,,
242,2334.0,,-0.34,218.4,277.9
243,2346.90186,,,,
244,2355.3,577.3,,,
245,2359.1,567.7,,,
246,2366.62476,,,,
247,2375.4,579.021,,,
