Cork Airport 1961-1990 averages,,,,,,,,,,,,,
TEMPERATURE (degrees Celsius),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
mean daily max.,7.6,7.5,9.3,11.3,13.8,16.6,18.5,18.2,16,13.1,9.9,8.5,12.5
mean daily min.,2.6,2.5,3.1,4.2,6.5,9.2,11.1,10.9,9.4,7.5,4.5,3.7,6.3
mean,5.1,5,6.2,7.7,10.2,12.9,14.8,14.5,12.7,10.3,7.2,6.1,9.4
absolute max.,12.6,13.5,15.5,20.5,23.6,25.7,28.7,27.5,24.7,19,15.9,13.6,28.7
absolute min.,-8.5,-8.6,-6.1,-2.4,-0.9,2.4,4.8,4.9,2.3,-0.4,-3.3,-5.9,-8.6
mean no. of days with air frost,6.7,5.6,3.4,1.8,0.1,0,0,0,0,0,2.4,3.9,24
mean no. of days with ground frost,15,12.7,12,9.4,2.9,0.2,0,0,0.4,2.6,9.5,12.2,76.8
,,,,,,,,,,,,,
RELATIVE HUMIDITY (%),,,,,,,,,,,,,
mean at 0900UTC,90,90,88,83,81,81,83,86,88,91,90,90,87
mean at 1500UTC,84,80,75,71,71,72,72,73,76,82,83,86,77
,,,,,,,,,,,,,
SUNSHINE (hours),,,,,,,,,,,,,
mean daily duration,1.7,2.28,3.51,5.21,6.02,5.73,5.4,5.14,4.13,2.8,2.16,1.56,3.8
greatest daily duration,7.3,9.3,11.8,13.8,15.4,15.9,15.4,14.2,12.8,9.9,8.5,6.7,15.9
mean no. of days with no sun,11,9,6,4,2,3,2,2,4,7,9,12,69
,,,,,,,,,,,,,
RAINFALL (mm),,,,,,,,,,,,,
mean monthly total,138.3,115.6,98.7,67.7,83.4,68.8,66.4,88.7,96.4,125.4,111.1,133.8,1194.4
greatest daily total,55.1,48.2,39.3,44.9,49.3,43.3,83.8,64.8,51.8,86.7,69.9,52.2,86.7
mean no. of days with >= 0.2mm,20,17,18,14,16,15,14,16,16,19,19,20,204
mean no. of days with >= 1.0mm,16,13,13,10,12,10,9,11,12,15,14,16,151
mean no. of days with >= 5.0mm,9,8,6,4,6,5,4,5,6,8,7,8,75
,,,,,,,,,,,,,
WIND (knots),,,,,,,,,,,,,
mean monthly speed,12.9,12.6,12.3,11,10.6,9.5,9.1,9.2,10.3,11.2,11.6,12.4,11.1
max. gust,94,83,70,63,60,51,57,54,64,75,66,68,94
max. mean 10-minute speed,58,54,44,41,41,36,40,38,45,48,46,46,58
mean no. of days with gales,3.2,2.2,1.7,0.7,0.4,0.1,0.1,0.2,0.7,1.2,1.8,2.5,15
,,,,,,,,,,,,,
WEATHER (mean no. of days with...),,,,,,,,,,,,,
snow or sleet,4.5,4.7,3,1.1,0.2,0,0,0,0,0,0.6,2.3,16.4
snow lying at 0900UTC,2.7,1.8,0.4,0,0,0,0,0,0,0,0,0.6,5.6
hail,1,1.1,1.9,1.9,1.1,0.3,0.1,0.1,0.1,0.4,0.3,0.6,8.8
thunder,0.4,0.1,0.1,0.2,0.4,0.5,0.8,0.5,0.2,0.4,0.1,0.1,3.7
fog,7.4,7.3,7.9,5.9,7.7,8.6,8.5,9.8,10.7,10.4,7.3,8,99.5
