,Years,CH4(ppb),Temp(Celsius),Temp(Kelvin),CO2(ppm),years_workaround
0,0.0,1911.83,,,,0.0
1,0.0,,,218.3,420.0,0.0
2,1.3,605.4002909,,,,0.013000000000000001
3,38.37379,,0.88,,,0.3837379
4,44.6,599.2280749,,,,0.446
5,46.81203,,1.84,,,0.4681203
6,55.05624,,3.04,,,0.5505624
7,64.41511,,0.35,,,0.6441511
8,73.15077,,-0.42,,,0.7315077
9,81.93244,,0.05,,,0.8193244
10,90.75925,,0.05,,,0.9075924999999999
11,94.8,603.7,,,,0.948
12,99.97031,,-0.52,,,0.9997031
13,109.88879,,0.79,,,1.0988879
14,119.25888,,-0.55,,,1.1925888
15,129.40378,,-1.11,,,1.2940378000000001
16,137.0,,,218.3,280.4,1.37
17,139.93889,,0.38,,,1.3993889
18,150.10205,,-0.4,,,1.5010204999999999
19,154.1,590.6,,,,1.541
20,160.58005,,1.05,,,1.6058005
21,164.9,594.286,,,,1.649
22,168.9,608.7,,,,1.689
23,171.01834,,0.28,,,1.7101834
24,181.44466,,-0.72,,,1.8144466
25,191.48283,,-1.23,,,1.9148283000000001
26,201.87233,,0.51,,,2.0187233
27,212.18626,,-2.44,,,2.1218626
28,223.16292,,0.42,,,2.2316292
29,233.73909,,0.84,,,2.3373909
30,244.64073,,0.71,,,2.4464072999999997
31,255.49973,,-0.02,,,2.5549973
32,257.8,601.7,,,,2.5780000000000003
33,266.61209,,-0.14,,,2.6661209
34,268.0,,,218.3,274.9,2.68
35,277.77097,,-1.41,,,2.7777097
36,279.0,,,218.3,277.9,2.79
37,289.25006,,-0.34,,,2.8925006
38,301.04303,,0.16,,,3.0104303
39,312.44177,,-1.22,,,3.1244177000000004
40,323.85452,,-0.41,,,3.2385452
41,324.6,597.3161697,,,,3.2460000000000004
42,335.57825,,-0.59,,,3.3557825
43,346.88129,,0.03,,,3.4688128999999996
44,358.50821,,-0.67,,,3.5850821
45,359.2,594.7,,,,3.592
46,370.90112,,-0.9,,,3.7090112
47,371.0,594.1057316,,,,3.71
48,375.0,597.0,,,,3.75
